name,align_cutoff_head_slv,align_cutoff_tail_slv,align_filter_slv,align_quality_slv,aligned_slv,lca_tax_slv,nearest_slv,turn
APMI01060598.1_161-1024(-),0,0,,99,2020-12-10 20:48:21,Bacteria;Chloroflexi;Anaerolineae;SBR1031;,APMI01060598.1.167.1635~0.992 AY491572.1.1.1415~0.944 FN667264.1.1.1426~0.911 FM253630.1.1.1449~0.890 FJ479486.1.1.1449~0.886 JN178060.1.1.1478~0.878 X84474.2.1.1401~0.871 EF126279.1.1.1448~0.860 JN178075.1.1.1494~0.857 KC541034.1.1.1497~0.853 ,turn-check disabled
APMI01073052.1_2462-3308(+),0,0,,96,2020-12-10 20:48:21,Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Mitochondria;,AF502202.1.1.1376~0.902 AF502201.1.1.1384~0.901 ,turn-check disabled
APMI01092918.1_7-628(+),0,0,,94,2020-12-10 20:48:21,Bacteria;Desulfobacterota;Desulfovibrionia;Desulfovibrionales;Desulfovibrionaceae;Desulfovibrio;,AUBQ01000027.1.3435.4965~0.926 LC311578.1.1.1514~0.919 AF053752.1.1.1540~0.897 JX828423.1.1.1511~0.895 AP010904.1.1824930.1826478~0.895 AP010904.1.391211.392759~0.895 AP010904.1.4237411.4238959~0.895 EF688156.1.1.1493~0.892 AY574979.1.1.1498~0.892 FR749898.1.1.1541~0.890 ,turn-check disabled
APMI01002243.1_8-491(+),0,0,,99,2020-12-10 20:48:21,Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Weeksellaceae;Chryseobacterium;,LMQN01000012.1.1233.2754~0.988 CP013293.1.4063847.4065364~0.983 CP013293.1.4050247.4051764~0.983 CP013293.1.1281.2798~0.983 CP013293.1.3053380.3054897~0.983 CP013293.1.3046481.3047998~0.983 CP013293.1.4056948.4058465~0.983 LMQM01000001.1.787099.788620~0.983 CP022282.1.2807366.2808887~0.983 CP022282.1.4303040.4304561~0.983 ,turn-check disabled
APMI01104246.1_40-520(+),0,0,,96,2020-12-10 20:48:21,Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Brevundimonas;,GQ263803.1.1.1401~0.992 GQ009831.1.1.1282~0.990 FJ894424.1.1.1284~0.988 LN560137.1.1.1293~0.988 GU003879.1.1.1343~0.988 FJ192201.1.1.1382~0.985 FJ191992.1.1.1410~0.985 FJ193558.1.1.1423~0.985 LC093420.1.1.1443~0.985 KU961780.1.1.1422~0.985 ,turn-check disabled
APMI01092917.1_691-1280(+),0,0,,98,2020-12-10 20:48:22,Bacteria;Desulfobacterota;Desulfovibrionia;Desulfovibrionales;Desulfovibrionaceae;Desulfovibrio;,AUBQ01000027.1.3435.4965~0.952 LC311578.1.1.1514~0.941 EF562565.1.1.1496~0.939 FM178823.1.1.1398~0.939 FM178528.1.1.1408~0.939 KC758935.1.1.1410~0.939 JX828423.1.1.1511~0.939 AY574979.1.1.1498~0.937 DQ205193.1.1.1473~0.924 GQ402775.1.1.1473~0.917 ,turn-check disabled
APMI01014340.1_8777-9713(-),0,0,,99,2020-12-10 20:48:21,Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Mitochondria;,APMI01014340.1.8783.10329~0.993 U02970.1.1999.3672~0.876 APJO01001223.1.49523.51157~0.847 ANZC01004539.1.7407.9071~0.738 KY629619.1.60516.62113~0.733 KY629615.1.31609.33241~0.731 GCUV01007738.1.29.1628~0.726 GQ339576.1.20956.22548~0.703 ,turn-check disabled
APMI01056314.1_337-880(-),1,0,,98,2020-12-10 20:48:22,Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Spirosomaceae;Flectobacillus;,FN547417.1.1.1487~0.978 KM263151.1.1.1379~0.961 KT826313.1.1.1469~0.961 KJ938566.1.1.1489~0.959 MG674652.1.1.1414~0.952 M62787.2.1.1476~0.945 ATXY01000007.1.94928.96413~0.943 ATXY01000006.1.350639.352124~0.943 HQ183950.1.1.1467~0.934 KC588923.1.1.1421~0.930 ,turn-check disabled
APMI01002256.1_18-496(-),0,0,,99,2020-12-10 20:48:22,Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;37-13;,EF111096.1.1.1279~0.969 JN886916.1.1.1484~0.925 FPLS01037236.1.13.1519~0.908 FPLS01051161.1.9.1375~0.906 JN391855.1.1.1490~0.902 LN880489.1.1.1391~0.900 EU881309.1.1.1490~0.897 FPLS01044351.1.19.1523~0.893 KY992607.1.1.1486~0.889 JF703587.1.1.1433~0.887 ,turn-check disabled
JQGG01000441.1_451-991(-),0,0,,95,2020-12-10 20:48:22,Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Flavobacterium;,AY947950.1.1.1440~0.922 KC253343.1.1.1480~0.911 JF828736.1.1.1480~0.907 EU037363.2.1.1418~0.907 GU120585.1.1.1458~0.906 GQ087208.1.1.1344~0.906 KU746271.1.1.1479~0.906 AY773135.1.1.1486~0.906 GU305841.1.1.1477~0.904 KC253301.1.1.1480~0.904 ,turn-check disabled
JPYU01001184.1_138-1012(+),0,0,,99,2020-12-10 20:48:22,Archaea;Halobacterota;Methanosarcinia;Methanosarciniales;Methanosaetaceae;Methanosaeta;,JPYU01001184.1.1.1009~0.997 EU155903.1.1.1469~0.983 EU155911.1.1.1470~0.981 FPLM01001775.1.1.1319~0.981 EU155904.1.1.1469~0.979 FPLM01006612.1.12.1469~0.979 EU155905.1.1.1470~0.978 X51423.1.206.1677~0.978 CP002565.1.291377.292844~0.978 CP002565.1.836700.838167~0.978 ,turn-check disabled
APMI01006861.1_20806-21903(+),0,0,,70,2020-12-10 20:48:22,Unclassified;,,turn-check disabled
APMI01007384.1_8388-9242(-),0,0,,51,2020-12-10 20:48:22,Unclassified;,,turn-check disabled
JQGG01015616.1_0-1041(-),0,0,,99,2020-12-10 20:48:22,Eukaryota;,LC150080.1.1.1676~0.895 LC222865.1.1.1672~0.882 KM594566.1.1.1603~0.851 AB902312.1.1.1733~0.848 AB901564.1.1.1732~0.846 AB902204.1.1.1733~0.845 LC150049.1.1.1649~0.845 KY355451.1.1.1654~0.845 LC222858.1.1.1647~0.844 LC222863.1.1.1655~0.844 ,turn-check disabled
CXWJ01035424.1_8-886(-),0,0,,99,2020-12-10 20:48:22,Bacteria;Acidobacteriota;Vicinamibacteria;Vicinamibacterales;Vicinamibacteraceae;,CXWJ01035424.1.14.1545~0.994 JQ427183.1.1.1505~0.990 AF234731.1.1.1550~0.986 HM438215.1.1.1499~0.981 HM438139.1.1.1508~0.972 FPLS01053409.1.12.1545~0.972 Z95726.1.1.1547~0.968 HM447795.1.1.1501~0.968 GQ500866.1.1.1516~0.968 FJ713034.1.1.1522~0.967 ,turn-check disabled
CXWJ01001556.1_669-1537(-),0,0,,99,2020-12-10 20:48:23,Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;,AF234759.1.1.1507~0.998 CXWJ01001556.1.674.2166~0.995 JX079290.1.1.1500~0.983 JN869156.1.1.1502~0.983 JX079122.1.1.1497~0.982 JX079241.1.1.1480~0.979 JX079301.1.1.1501~0.978 JX079077.1.1.1498~0.969 DQ833481.1.1.1502~0.964 FPLP01003558.1.15.1303~0.963 ,turn-check disabled
CXWJ01014004.1_1172-1934(-),0,0,,100,2020-12-10 20:48:23,Bacteria;Chloroflexi;Anaerolineae;Ardenticatenales;uncultured;,LN890655.2.599814.601307~1.000 AJ412677.1.1.1556~0.987 FPLP01011717.1.13.1500~0.984 FPLP01002316.1.13.1496~0.980 FPLP01003268.1.23.1505~0.980 FPLP01004070.1.11.1494~0.979 FPLP01013325.1.1.1254~0.979 FPLP01005989.1.12.1321~0.978 FPLP01011139.1.11.1493~0.976 FPLP01000737.1.1.1218~0.976 ,turn-check disabled
CXWJ01000322.1_91653-92519(+),0,2,,99,2020-12-10 20:48:23,Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Saprospiraceae;uncultured;,CXWJ01000322.1.91024.92517~0.998 JN391727.1.1.1479~0.960 FPLP01002249.1.16.1459~0.953 JN391745.1.1.1478~0.939 FPLP01005906.1.17.1520~0.936 FPLP01000910.1.15.1505~0.935 FPLP01004346.1.10.1498~0.931 FPLP01001298.1.17.1503~0.927 FPLS01043817.1.34.1483~0.924 JN391687.1.1.1477~0.923 ,turn-check disabled
